136859;Thumb Up;36
68574;Swiping Right;36
6522;Swiping Down;37
20706;No gesture;33
133442;Zooming Out With Full Hand;34
39493;No gesture;37
118250;Swiping Down;34
26746;Rolling Hand Backward;37
62818;Swiping Left;37
46867;Zooming Out With Full Hand;37
1338;Swiping Right;37
10179;Swiping Left;37
19834;Zooming Out With Full Hand;37
121324;Zooming Out With Full Hand;35
28883;No gesture;37
53863;Swiping Down;37
42951;Zooming Out With Full Hand;36
49096;Zooming Out With Full Hand;35
117892;Swiping Down;37
83532;Rolling Hand Backward;34
12133;No gesture;32
123985;No gesture;32
2720;Thumb Up;36
40836;Swiping Down;37
26431;Zooming Out With Full Hand;33
102678;No gesture;35
10504;No gesture;34
104639;Swiping Left;36
85923;Swiping Up;36
127712;Thumb Up;33
79314;Swiping Down;33
25380;Zooming Out With Full Hand;30
64966;Zooming Out With Full Hand;36
74327;Zooming Out With Full Hand;37
22613;Thumb Up;32
111296;Swiping Up;37
18056;Swiping Up;38
46260;Swiping Up;36
114674;No gesture;37
114827;No gesture;37
87642;Swiping Up;37
74438;Swiping Up;33
108964;Thumb Up;37
105791;Swiping Left;35
38482;Swiping Left;36
78394;Swiping Right;37
111880;Swiping Left;37
59393;Zooming Out With Full Hand;37
88051;No gesture;33
51084;No gesture;36
147456;Swiping Left;37
93110;Thumb Up;37
6022;No gesture;33
23903;No gesture;34
122765;Swiping Up;37
136771;Thumb Up;37
75238;Swiping Left;36
33220;No gesture;36
39319;Swiping Left;33
136822;Swiping Down;37
52906;Swiping Right;37
12696;Swiping Down;28
113147;Swiping Left;34
117167;Rolling Hand Backward;37
41319;Rolling Hand Backward;37
72685;Rolling Hand Backward;37
52825;Thumb Up;25
84237;No gesture;38
62707;Rolling Hand Backward;37
54856;Swiping Up;35
96825;Zooming Out With Full Hand;36
56683;No gesture;37
116383;Zooming Out With Full Hand;34
8466;No gesture;38
67863;Thumb Up;37
110800;Swiping Down;33
134801;No gesture;34
94725;No gesture;37
53151;Thumb Up;36
111679;Swiping Right;36
66147;Thumb Up;35
135294;Swiping Right;34
16198;Swiping Right;34
142135;Rolling Hand Backward;36
103305;Swiping Right;33
145771;Swiping Right;37
22459;Thumb Up;33
144993;No gesture;37
2322;Zooming Out With Full Hand;32
57662;Swiping Up;36
3578;Swiping Up;37
140329;Zooming Out With Full Hand;36
22724;No gesture;37
15974;Rolling Hand Backward;37
48306;Thumb Up;36
102451;Thumb Up;36
36169;Thumb Up;36
15429;Swiping Left;37
26409;Zooming Out With Full Hand;37
42390;Zooming Out With Full Hand;36
18931;Thumb Up;37
42054;Swiping Down;36
32754;Swiping Down;35
12877;Swiping Up;37
12786;Zooming Out With Full Hand;36
47086;Thumb Up;33
132650;Thumb Up;34
41841;Swiping Down;37
38373;Rolling Hand Backward;37
97683;Swiping Up;36
25100;Thumb Up;33
3452;Swiping Left;33
127843;Swiping Down;32
49469;Swiping Up;37
21598;Swiping Up;32
125940;Thumb Up;37
114412;Rolling Hand Backward;39
53298;Rolling Hand Backward;37
127086;Rolling Hand Backward;36
47572;No gesture;32
121154;Swiping Down;37
145942;Zooming Out With Full Hand;36
130848;No gesture;37
10185;Thumb Up;37
73495;Swiping Left;34
119960;Zooming Out With Full Hand;33
25505;Swiping Up;37
14637;Rolling Hand Backward;32
8671;Swiping Up;37
91312;Swiping Down;34
14299;No gesture;37
14393;Rolling Hand Backward;33
134714;Rolling Hand Backward;36
65499;Swiping Left;32
131313;Swiping Right;37
114470;Swiping Down;32
33589;Rolling Hand Backward;37
80148;Swiping Right;38
47344;Thumb Up;36
117454;No gesture;37
146793;Swiping Left;37
64275;Swiping Up;33
51882;Swiping Left;37
81824;No gesture;37
84426;Swiping Down;37
112475;Thumb Up;36
84764;Swiping Right;22
1393;No gesture;37
40388;Swiping Left;37
86750;Rolling Hand Backward;37
72837;Rolling Hand Backward;37
31738;Swiping Right;37
113099;Rolling Hand Backward;36
128353;Thumb Up;37
144832;Rolling Hand Backward;36
27945;Swiping Right;36
19105;Thumb Up;37
105716;Swiping Down;37
91465;Swiping Right;37
116498;Swiping Left;37
82435;Thumb Up;33
39817;Swiping Up;37
67269;Rolling Hand Backward;37
129232;Zooming Out With Full Hand;32
136169;Swiping Down;36
34013;Zooming Out With Full Hand;36
25085;Zooming Out With Full Hand;37
20597;Swiping Right;36
112499;Thumb Up;37
143053;Thumb Up;35
87636;Rolling Hand Backward;32
42662;Rolling Hand Backward;37
20768;No gesture;37
91066;Rolling Hand Backward;36
50265;Swiping Right;36
95462;Thumb Up;37
12937;Swiping Up;38
28547;Rolling Hand Backward;36
81651;Swiping Left;33
5684;Swiping Down;37
143729;Swiping Left;37
57259;Swiping Up;37
128004;No gesture;37
119948;Swiping Left;37
69894;Swiping Right;37
10082;Swiping Up;38
108595;Thumb Up;33
74775;No gesture;37
93303;Swiping Left;36
106490;Thumb Up;33
72465;Swiping Right;37
114244;Rolling Hand Backward;37
128609;Swiping Up;33
122157;Swiping Down;36
58382;Swiping Right;37
61068;Thumb Up;36
112539;No gesture;37
141002;Thumb Up;36
2161;Swiping Up;36
38811;Swiping Down;37
104774;No gesture;35
39229;Swiping Down;37
80494;No gesture;20
132368;Swiping Up;30
84618;Swiping Up;34
110469;Swiping Left;37
138437;Swiping Down;37
144583;Swiping Left;33
13359;Thumb Up;38
42375;Rolling Hand Backward;34
55315;No gesture;36
22017;Rolling Hand Backward;36
114451;No gesture;37
38949;Swiping Right;33
63036;Swiping Left;36
49399;No gesture;37
102283;Rolling Hand Backward;36
70722;Swiping Down;37
76795;Swiping Down;37
142561;Thumb Up;38
25144;No gesture;37
143158;Swiping Left;37
80103;Thumb Up;32
137582;Swiping Right;34
126129;Zooming Out With Full Hand;36
33658;No gesture;36
53108;Swiping Left;35
129342;Zooming Out With Full Hand;37
25918;Zooming Out With Full Hand;36
27593;Swiping Right;38
2923;No gesture;37
4093;Swiping Up;37
146317;Swiping Right;32
133467;Zooming Out With Full Hand;37
34566;Rolling Hand Backward;32
14674;Swiping Right;37
71146;Swiping Up;37
91086;Swiping Left;34
136046;Swiping Up;33
145195;Thumb Up;36
80145;Thumb Up;31
146855;No gesture;33
42484;Swiping Down;37
16764;No gesture;33
146228;No gesture;37
119370;Swiping Right;36
61814;Swiping Right;37
21160;Swiping Down;30
43852;No gesture;33
2379;Zooming Out With Full Hand;34
120138;Swiping Right;36
46463;Swiping Up;37
49002;Rolling Hand Backward;36
90562;Swiping Left;37
109199;Rolling Hand Backward;31
25272;Swiping Up;34
27115;Swiping Right;39
60634;Rolling Hand Backward;34
39584;Swiping Down;36
134464;Swiping Right;36
78260;Zooming Out With Full Hand;36
31427;Swiping Left;35
107292;Zooming Out With Full Hand;35
107908;No gesture;38
7888;No gesture;35
46834;Zooming Out With Full Hand;37
108604;No gesture;37
47375;Swiping Left;37
132131;Swiping Right;36
123228;No gesture;36
121003;Swiping Down;37
17879;Swiping Right;32
104497;Rolling Hand Backward;37
141120;Swiping Right;35
85437;Swiping Down;37
64355;Thumb Up;33
133042;Rolling Hand Backward;36
126750;Swiping Down;36
81075;Rolling Hand Backward;37
74581;Swiping Left;35
20361;Zooming Out With Full Hand;37
31044;Thumb Up;38
99901;No gesture;37
25695;Swiping Left;37
58915;No gesture;37
113120;Swiping Up;38
29663;Zooming Out With Full Hand;35
75935;No gesture;34
85551;Thumb Up;37
1102;Rolling Hand Backward;37
112877;No gesture;36
18793;Swiping Left;38
18107;Rolling Hand Backward;33
35489;Zooming Out With Full Hand;37
81785;Swiping Up;35
39776;Swiping Right;33
102057;Zooming Out With Full Hand;36
23099;Swiping Down;37
17726;Swiping Down;36
2466;Swiping Up;35
136411;Zooming Out With Full Hand;37
127323;Swiping Right;35
108277;Zooming Out With Full Hand;37
50278;Rolling Hand Backward;35
124939;Swiping Up;36
132944;No gesture;38
73339;Swiping Left;37
